,date,sn,model,cap_b,cap_gb,cap_tb,failure,reallocated_sector_count,operational_hours,turned_off_on,uncorrectable_errors,command_timeout,high_fly_writes,pending_sector_count,uncorrectable_sector_count
149,2019-02-01,X8L0A01BF97G,TOSHIBA MG07ACA14TA,14000519643136,14000,14,1,0.0,1412.0,2.0,,,,0.0,0.0
150,2019-02-01,S300Z5S4,ST4000DM000,4000787030016,4000,4,1,0.0,30181.0,9.0,0.0,0.0,0.0,0.0,0.0
151,2019-02-02,ZCH07B11,ST12000NM0007,12000138625024,12000,12,1,27.0,11248.0,5.0,0.0,0.0,,0.0,0.0
152,2019-02-02,Z304JM43,ST4000DM000,137438952960,137,0,1,,,,,,,,
153,2019-02-02,ZJV03KMS,ST12000NM0007,12000138625024,12000,12,1,0.0,6450.0,2.0,0.0,0.0,,0.0,0.0
154,2019-02-02,ZCH06PC6,ST12000NM0007,12000138625024,12000,12,1,7608.0,11392.0,4.0,5.0,0.0,,0.0,0.0
155,2019-02-03,ZCH0BXAL,ST12000NM0007,12000138625024,12000,12,1,2.0,9720.0,3.0,0.0,0.0,,0.0,0.0
156,2019-02-03,ZA130MZT,ST8000DM002,8001563222016,8001,8,1,8.0,7239.0,4.0,0.0,0.0,0.0,88.0,88.0
157,2019-02-03,ZJV1J8AX,ST12000NM0007,12000138625024,12000,12,1,0.0,2621.0,3.0,0.0,0.0,,0.0,0.0
158,2019-02-03,ZJV2ECXH,ST12000NM0007,12000138625024,12000,12,1,1736.0,1199.0,1.0,0.0,0.0,,8.0,8.0
159,2019-02-04,ZA16CLZT,ST8000NM0055,8001563222016,8001,8,1,216.0,16699.0,2.0,0.0,0.0,0.0,0.0,0.0
160,2019-02-04,S300WCSR,ST4000DM000,4000787030016,4000,4,1,0.0,31147.0,12.0,0.0,0.0,0.0,0.0,0.0
161,2019-02-04,ZCH0BABW,ST12000NM0007,12000138625024,12000,12,1,3872.0,6846.0,2.0,0.0,0.0,,0.0,0.0
162,2019-02-04,ZCH07CRX,ST12000NM0007,12000138625024,12000,12,1,736.0,11223.0,7.0,2.0,0.0,,0.0,0.0
163,2019-02-05,ZCH0CK4L,ST12000NM0007,12000138625024,12000,12,1,0.0,6863.0,2.0,0.0,0.0,,0.0,0.0
164,2019-02-05,ZCH0BA12,ST12000NM0007,12000138625024,12000,12,1,0.0,9769.0,3.0,0.0,0.0,,0.0,0.0
165,2019-02-05,PL1331LAHEU86H,HGST HMS5C4040BLE640,4000787030016,4000,4,1,0.0,17624.0,4.0,,,,0.0,0.0
166,2019-02-06,Z304L856,ST4000DM000,4000787030016,4000,4,1,0.0,28191.0,2.0,18.0,0.0,0.0,8.0,8.0
167,2019-02-06,ZCH0CZTV,ST12000NM0007,12000138625024,12000,12,1,768.0,8056.0,2.0,0.0,0.0,,0.0,0.0
168,2019-02-06,ZCH0818W,ST12000NM0007,12000138625024,12000,12,1,1808.0,10906.0,6.0,3.0,0.0,,0.0,0.0
169,2019-02-06,96ICTBPTT,TOSHIBA MQ01ABF050,500107862016,500,0,1,0.0,17261.0,3.0,,,,0.0,0.0
170,2019-02-06,ZCH06DP9,ST12000NM0007,12000138625024,12000,12,1,560.0,11274.0,3.0,1.0,0.0,,0.0,0.0
171,2019-02-06,Z305DXS7,ST4000DM000,4000787030016,4000,4,1,0.0,25395.0,6.0,0.0,0.0,0.0,0.0,0.0
172,2019-02-06,Z300VXA5,ST4000DM000,4000787030016,4000,4,1,0.0,34729.0,6.0,5.0,0.0,0.0,32.0,32.0
173,2019-02-07,Z302CYHA,ST4000DM000,4000787030016,4000,4,1,0.0,29537.0,23.0,8.0,0.0,0.0,72.0,72.0
174,2019-02-07,ZDEC8Y57,ST500LM030,500107862016,500,0,1,0.0,465.0,2.0,0.0,0.0,0.0,0.0,0.0
175,2019-02-07,ZCH0CLDX,ST12000NM0007,12000138625024,12000,12,1,616.0,9592.0,5.0,0.0,0.0,,0.0,0.0
176,2019-02-07,Z302EQBN,ST4000DM000,4000787030016,4000,4,1,0.0,35068.0,11.0,0.0,0.0,0.0,0.0,0.0
177,2019-02-07,ZA121T2A,ST8000DM002,8001563222016,8001,8,1,192.0,23070.0,2.0,5.0,0.0,0.0,8.0,8.0
178,2019-02-07,ZJV0016J,ST12000NM0007,12000138625024,12000,12,1,4752.0,9421.0,3.0,78.0,0.0,,136.0,136.0
179,2019-02-07,Z304JG10,ST4000DM000,4000787030016,4000,4,1,16.0,29234.0,17.0,4.0,0.0,0.0,0.0,0.0
180,2019-02-07,Z305PV18,ST4000DM000,4000787030016,4000,4,1,0.0,25915.0,5.0,1.0,0.0,0.0,0.0,0.0
181,2019-02-07,ZA143SAS,ST8000DM002,8001563222016,8001,8,1,0.0,19952.0,5.0,0.0,655375.0,0.0,0.0,0.0
182,2019-02-07,ZA13AG2K,ST8000NM0055,8001563222016,8001,8,1,40.0,14756.0,3.0,0.0,0.0,0.0,0.0,0.0
183,2019-02-08,WD-WX71A14S0199,WDC WD5000LPVX,500107862016,500,0,1,0.0,30808.0,32.0,,,,0.0,0.0
